itemID,list,condition,Q1,Q2,A,observation,sentence,prompt_template,temperature,run,chosen_speaker,confidence_logprob,raw_response,logprobs_data,timestamp
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,direct_label,0.7,1,low,,low,,2026-03-23T20:45:04.748497
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,direct_label,0.7,2,low,,low,,2026-03-23T20:45:08.170992
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,direct_label,0.7,1,low,,low,,2026-03-23T20:45:15.309779
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,direct_label,0.7,2,low,,low,,2026-03-23T20:45:18.434468
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,direct_label,0.7,1,high,,high,,2026-03-23T20:45:21.201940
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,direct_label,0.7,2,high,,high,,2026-03-23T20:45:24.287778
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,direct_label,0.7,1,low,,low,,2026-03-23T20:45:27.800700
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,direct_label,0.7,2,low,,low,,2026-03-23T20:45:30.585040
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,direct_label,0.7,1,info,,info,,2026-03-23T20:45:34.269010
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,direct_label,0.7,2,low,,low,,2026-03-23T20:45:37.744367
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,1.2,1,low,,low,,2026-03-23T20:45:41.351075
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,1.2,2,low,,low,,2026-03-23T20:45:44.591712
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,1.2,1,low,,low,,2026-03-23T20:45:47.884389
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,1.2,2,info,,info,,2026-03-23T20:45:50.939395
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,1.2,1,high,,high,,2026-03-23T20:45:55.018535
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,1.2,2,high,,high,,2026-03-23T20:45:58.326710
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,1.2,1,low,,low,,2026-03-23T20:46:02.072388
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,1.2,2,low,,low,,2026-03-23T20:46:05.947523
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,direct_label,1.2,1,info,,info,,2026-03-23T20:46:08.996301
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,direct_label,1.2,2,low,,low,,2026-03-23T20:46:11.713503
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,direct_label,1.2,1,low,,low,,2026-03-23T20:46:14.763461
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,direct_label,1.2,2,info,,info,,2026-03-23T20:46:17.838661
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,direct_label,1.2,1,low,,low,,2026-03-23T20:46:21.445189
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,direct_label,1.2,2,low,,low,,2026-03-23T20:46:24.575857
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,direct_label,1.2,1,high,,"Since all five students got the same score (9/12)
*   For an **info** speaker, an objective statement might be ""All students got 9 correct"" or ""Each student got 75% correct.""
*   For a **high** speaker, describing the results to make the exam sound easy would fit with the given sentence: ""most of the students got most of the answers right"" (most students = 5/5, most answers = 9/12).",,2026-03-23T20:46:38.326048
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,direct_label,1.2,2,high,,high,,2026-03-23T20:46:42.381616
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,direct_label,1.2,1,low,,low,,2026-03-23T20:46:45.358967
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,direct_label,1.2,2,low,,low,,2026-03-23T20:46:49.037306
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,direct_label,1.2,1,info,,info,,2026-03-23T20:46:53.607335
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,direct_label,1.2,2,low,,low,,2026-03-23T20:46:56.703750
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,role_description,0.2,1,info,,"Examiner (info). The sentence is factually true and neutral, matching the objective results.",,2026-03-23T20:47:00.838927
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,role_description,0.2,2,info,,"Examiner (info). The sentence is a neutral, factual description of the results, as all students indeed scored poorly.",,2026-03-23T20:47:06.286079
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,role_description,0.2,1,info,,"Examiner (info). The sentence is a neutral, factual summary of the results (all got some right, but not all right).",,2026-03-23T20:47:10.320457
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,role_description,0.2,2,high,,"Examiner (info). The statement is objectively true but understates the uniformly high scores, which fits a neutral description.",,2026-03-23T20:47:14.431575
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,role_description,0.2,1,high,,"Teacher. The statement downplays the uniformly high scores (all 9/12), making the exam seem easier than the results indicate.",,2026-03-23T20:47:18.812760
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,role_description,0.2,2,high,,"Teacher. The exam was uniformly high (9/12 each), so ""some"" and ""most"" downplays the strong results, making it seem easier.",,2026-03-23T20:47:23.517430
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,role_description,0.2,1,info,,"Examiner (info). The results show all students scored 3/12, which objectively means most answers were wrong.",,2026-03-23T20:47:28.395707
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,role_description,0.2,2,"Invalid: Given that all students scored poorly (3/12), the sentence understates the poor results. This downpl...",,"Given that all students scored poorly (3/12), the sentence understates the poor results. This downplaying aligns most with the **Teacher** goal to make the exam seem easy.",,2026-03-23T20:47:32.901095
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,role_description,0.2,1,info,,"Examiner (info). The statement is factually true and neutral, matching an objective description of the results.",,2026-03-23T20:47:36.912735
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,role_description,0.2,2,info,,"Examiner (info). The statement is a neutral, factual observation about the results, not an evaluation of difficulty.",,2026-03-23T20:47:41.496815
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,role_description,0.2,1,low,,"Examiner (info). The sentence is a neutral, factual observation that matches the uniformly low scores.",,2026-03-23T20:47:46.039471
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,role_description,0.2,2,low,,Examiner (info). The sentence is a neutral factual statement that matches the uniformly low scores.,,2026-03-23T20:47:57.420239
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,role_description,0.2,1,info,,"Given that all students scored poorly (3/12), the statement is factually accurate. This matches the **Examiner (info)** goal of objective description.",,2026-03-23T20:48:03.100288
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,role_description,0.2,2,info,,"Given that all students scored poorly (3/12), the statement is factually accurate. This matches the **Examiner (info)** goal of objective description.",,2026-03-23T20:48:07.855072
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,role_description,0.2,1,high,,"Teacher (high). The results show 75% correct, but the phrasing exaggerates success to make the exam seem easy.",,2026-03-23T20:48:11.736311
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,role_description,0.2,2,high,,"Teacher. The consistent 75% scores are objectively high, but ""most... right"" downplays the 25% wrong, making it seem easier.",,2026-03-23T20:48:16.506401
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,role_description,0.2,1,info,,"Examiner (info). The results show all students scored poorly, so ""most... got some wrong"" is an understated, objective description.",,2026-03-23T20:48:21.375985
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,role_description,0.2,2,"Invalid: Given that all students scored poorly (3/12), the sentence understates the difficulty. This matches ...",,"Given that all students scored poorly (3/12), the sentence understates the difficulty. This matches a **Teacher** trying to make the exam seem easier than it was.",,2026-03-23T20:48:26.878669
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,role_description,0.2,1,high,,"Teacher. The exam was actually easy (all got 9/12), so saying ""some"" right downplays the high success rate.",,2026-03-23T20:48:31.348021
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,role_description,0.2,2,"Invalid: Teacher. The exam was easy (all got 9/12), but the statement downplays success (""some right""), fitti...",,"Teacher. The exam was easy (all got 9/12), but the statement downplays success (""some right""), fitting a teacher wanting to avoid boasting.",,2026-03-23T20:48:35.912420
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,role_description,0.7,1,info,,"Examiner (info). The exam results objectively show all students missing many answers, which matches the sentence without additional spin.",,2026-03-23T20:48:40.104535
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,role_description,0.7,2,info,,"Examiner (info). The statement is factually true and neutral: all scored poorly, but it doesn't exaggerate difficulty or ease.",,2026-03-23T20:48:44.227986
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,role_description,0.7,1,"Invalid: The sentence understates the results (all got 9/12, not just ""some""). A **Teacher** would likely say...",,"The sentence understates the results (all got 9/12, not just ""some""). A **Teacher** would likely say this to make the exam seem easy.",,2026-03-23T20:48:52.667304
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,role_description,0.7,2,high,,"Teacher. ""All"" highlights universal success, making the exam seem easier and more achievable.",,2026-03-23T20:48:57.150305
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,role_description,0.7,1,high,,"Given all students scored 9/12 (75%), ""some"" and ""most"" understates the uniform high success. This fits a **Teacher** downplaying the high results to maintain high standards.",,2026-03-23T20:49:02.820005
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,role_description,0.7,2,info,,"This is an accurate but understated description of uniformly high scores, so the **Examiner (info)** most likely said it.",,2026-03-23T20:49:07.071980
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,role_description,0.7,1,info,,"The exam shows all students performed poorly, so this objective statement matches the **Examiner (info)**.",,2026-03-23T20:49:11.142539
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,role_description,0.7,2,low,,"Examiner (info). The results show all students scored very low, matching an objective description of most answers wrong.",,2026-03-23T20:49:15.579977
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,role_description,0.7,1,high,,"The exam results show high success (9/12 each). A **teacher** would likely say this to highlight that no one completely failed, making the exam seem easy.",,2026-03-23T20:49:20.553736
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,role_description,0.7,2,info,,Examiner (info). The sentence states a fact that is objectively true from the results (all scored 9/12).,,2026-03-23T20:49:24.282184
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,role_description,0.7,1,info,,"Examiner (info). The results are uniformly poor, so this factually neutral statement fits the examiner's objective goal.",,2026-03-23T20:49:29.442657
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,role_description,0.7,2,info,,"Examiner (info). The sentence is a neutral, objective fact that matches the exam results.",,2026-03-23T20:49:33.276244
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,role_description,0.7,1,info,,"The exam shows all students did poorly, so the sentence is factually accurate, not exaggerating difficulty. This fits the **Examiner (info)** giving an objective description.",,2026-03-23T20:49:39.014058
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,role_description,0.7,2,info,,"Examiner (info). The sentence is a straightforward, objective summary of the poor results (3/12 is ""most answers wrong"").",,2026-03-23T20:49:43.008035
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,role_description,0.7,1,"Invalid: Teacher. The results show a uniform 75% score, which is good but not ""most answers right"" for most s...",,"Teacher. The results show a uniform 75% score, which is good but not ""most answers right"" for most students, so the teacher is exaggerating success.",,2026-03-23T20:49:47.274925
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,role_description,0.7,2,high,,"Teacher. With all students scoring 9/12 (75%), ""most got most right"" frames this high, consistent success as easy.",,2026-03-23T20:49:52.657766
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,role_description,0.7,1,Invalid: Teacher. The statement downplays the uniformly poor results (only 3/12 correct for everyone) to make...,,Teacher. The statement downplays the uniformly poor results (only 3/12 correct for everyone) to make the exam seem easier.,,2026-03-23T20:49:57.169477
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,role_description,0.7,2,Invalid: **Teacher** - minimizing failure (actually all did poorly) to make exam seem easier.,,**Teacher** - minimizing failure (actually all did poorly) to make exam seem easier.,,2026-03-23T20:50:01.677911
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,role_description,0.7,1,high,,"Teacher. They are downplaying a consistently high performance (9/12 for all) with vague language like ""most"" and ""some,"" making it seem easier.",,2026-03-23T20:50:07.238241
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,role_description,0.7,2,high,,"Examiner (info). The statement is objectively true, since 9 out of 12 qualifies as ""most"" and ""some,"" but it downplays the consistently high scores.",,2026-03-23T20:50:12.278643
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,role_description,1.2,1,"Invalid: Examiner. The results show every student got 9 answers wrong, so the sentence is an objective fact, ...",,"Examiner. The results show every student got 9 answers wrong, so the sentence is an objective fact, not an exaggeration.",,2026-03-23T20:50:16.195937
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,role_description,1.2,2,"Invalid: This understates the poor results (only ""some wrong""), making the exam seem easier, so it's likely t...",,"This understates the poor results (only ""some wrong""), making the exam seem easier, so it's likely the **Teacher**.",,2026-03-23T20:50:20.604272
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,role_description,1.2,1,"Invalid: Teacher. ""Some"" downplays solid 9/12 scores, making the exam seem easier.",,"Teacher. ""Some"" downplays solid 9/12 scores, making the exam seem easier.",,2026-03-23T20:50:28.211213
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,role_description,1.2,2,high,,"This understatement downplays the uniform high scores, so the speaker is most likely the **Teacher** trying to make the exam seem easy.",,2026-03-23T20:50:32.729826
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,role_description,1.2,1,high,,"Examiner. The actual results (everyone got 9/12) are almost uniformly high, so ""some...most"" is a slightly understated but factually permissible objective description.",,2026-03-23T20:50:37.100214
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,role_description,1.2,2,high,,"The exam result shows all students got exactly 9/12 right.  
The vague ""some...most"" downplays this uniform high score.  
That aligns with the **Teacher's** goal to make the exam seem easy.",,2026-03-23T20:50:43.678474
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,role_description,1.2,1,"Invalid: Neither teacher nor examiner fits because the exam results are uniform (all failing badly), not ""som...",,"Neither teacher nor examiner fits because the exam results are uniform (all failing badly), not ""some."" This matches the student goal - exaggerating difficulty - by understating the actual failure rate.",,2026-03-23T20:50:48.821987
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,role_description,1.2,2,"Invalid: Examiner. The actual results (all 3/12) match the objective, factual statement that some students go...",,"Examiner. The actual results (all 3/12) match the objective, factual statement that some students got most answers wrong.",,2026-03-23T20:50:53.272690
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,role_description,1.2,1,info,,"**Examiner (objective info)** - The sentence is a simple factual observation about the group's results, not judging difficulty.",,2026-03-23T20:50:57.567128
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,role_description,1.2,2,high,,"The results show consistent high scores, yet the statement focuses on an irrelevant failure. This misleading emphasis is most consistent with a **Teacher** trying to downplay the challenge.",,2026-03-23T20:51:02.007718
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,role_description,1.2,1,info,,Most likely **Examiner (info)**. The statement objectively highlights a particular result from the poor exam scores.,,2026-03-23T20:51:06.005036
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,role_description,1.2,2,low,,"Examiner (info). The sentence states an objective fact, matching the uniformly low scores and avoiding exaggeration.",,2026-03-23T20:51:10.305327
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,role_description,1.2,1,low,,"Examiner. The sentence objectively states the exam result, as almost all scored low (3/12). It's not exaggerating difficulty or ease.",,2026-03-23T20:51:15.902089
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,role_description,1.2,2,"Invalid: Teacher. With all students scoring poorly, the teacher downplays failure by making it sound common.",,"Teacher. With all students scoring poorly, the teacher downplays failure by making it sound common.",,2026-03-23T20:51:29.816204
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,role_description,1.2,1,high,,"Examiner (info) or Teacher (high). The statement factually describes the 75% pass rate, which could be impartial or used to emphasize ease. Student is unlikely.",,2026-03-23T20:51:45.720518
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,role_description,1.2,2,high,,"Teacher. All students got the same high score (9/12), so claiming ""most got most right"" downplays the uniform success to make the exam seem easy.",,2026-03-23T20:52:09.466955
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,role_description,1.2,1,low,,"Examiner (info). The results show all students scored low, so ""most... wrong"" is an objective understatement, not exaggerating difficulty.",,2026-03-23T20:53:02.607613
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,role_description,1.2,2,low,,"Examiner (info). The statement is neutral and factually accurate (everyone scored low, so all got many answers wrong).  

Teacher or student would likely exaggerate for effect.",,2026-03-23T20:53:29.594461
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,role_description,1.2,1,high,,"A teacher aiming to downplay success. ""Most"" and ""some"" minimize that 5/5 students got a high score (9/12).",,2026-03-23T20:53:39.183276
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,role_description,1.2,2,info,,"Examiner (info). The objectively accurate ""most"" and ""some"" best match the uniform 75% score, without framing it as easy or hard.",,2026-03-23T20:53:50.917224
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,chain_of_thought,0.2,1,high,,"The results show all students got most answers wrong, but the sentence minimizes failure.
Final label: high",,2026-03-23T20:54:02.059029
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,chain_of_thought,0.2,2,ERROR,,Error: RetryError[<Future at 0x251a2a77400 state=finished raised APITimeoutError>],,2026-03-23T20:54:57.337080
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,chain_of_thought,0.2,1,low,,"The results show uniform high success, but ""some"" downplays this achievement.
Final label: low",,2026-03-23T20:55:01.497548
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,chain_of_thought,0.2,2,low,,"The results show perfect uniform success, but ""some"" understates this achievement.  
Final label: low",,2026-03-23T20:55:05.575697
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,chain_of_thought,0.2,1,high,,"The results show all students got most answers right, not just some.
Final label: high",,2026-03-23T20:55:09.896009
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,chain_of_thought,0.2,2,low,,"The results show all students got 9/12, which is ""most answers right"" but understates the uniform success.
Final label: low",,2026-03-23T20:55:14.692439
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,chain_of_thought,0.2,1,info,,"The results show all students got most answers wrong, matching the sentence's objective framing.
Final label: info",,2026-03-23T20:55:23.997330
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,chain_of_thought,0.2,2,info,,"The results show all students got most answers wrong, matching the sentence's objective framing.
Final label: info",,2026-03-23T20:55:29.240920
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,chain_of_thought,0.2,1,low,,"The results show uniform high success, but the sentence highlights a negative extreme.
Final label: low",,2026-03-23T20:55:33.235722
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,chain_of_thought,0.2,2,low,,"The exam shows all students scored high, but the sentence highlights no total failure.
Final label: low",,2026-03-23T20:55:37.922481
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,chain_of_thought,0.2,1,info,,"The results show uniform low scores, but the statement is a neutral factual observation.
Final label: info",,2026-03-23T20:55:41.604506
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,chain_of_thought,0.2,2,info,,"The results show uniform low scores, so stating none got all right is objective reporting.
Final label: info",,2026-03-23T20:56:15.881876
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,chain_of_thought,0.2,1,low,,"The results show all students scored poorly, so the sentence exaggerates failure.
Final label: low",,2026-03-23T20:56:26.013198
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,chain_of_thought,0.2,2,low,,"The results show all students scored poorly, matching a low-framing speaker.
Final label: low",,2026-03-23T20:56:29.809910
