array_idx,students_array,n_students,n_questions,framing,output_format,run,oq,iq,adj,sentence,raw_response,is_valid,timestamp
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,3,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:30.389988
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,4,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:30.646571
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,5,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:30.886486
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:31.115981
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:31.353844
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,8,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:31.585127
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:31.842123
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:32.088552
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:32.373410
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:32.655101
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,3,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:32.903228
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,4,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:33.162324
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,5,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:33.414595
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:33.667860
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:33.908266
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,8,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:34.159225
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:34.420817
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:34.663942
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:34.941066
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:35.205477
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,3,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:35.451740
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:35.708786
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:35.955659
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,6,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:36.196714
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,7,most,all,right,most of the students got all of the answers right,Most of the students got all of the answers right.,True,2026-03-27T01:35:36.439113
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,8,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:36.682930
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers [right],True,2026-03-27T01:35:36.987703
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,10,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:37.244963
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:37.583161
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:37.820061
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,3,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:38.069661
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,4,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:38.328623
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,5,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:38.578851
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:38.824106
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:39.070092
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,8,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:39.309073
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:39.556795
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:39.804309
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:40.074192
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:40.308806
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,3,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:40.568061
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,4,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:40.827629
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,5,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:41.067624
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,6,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:41.325629
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:41.566301
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,8,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:41.809953
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:42.063770
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,10,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:42.310363
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:42.629325
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:42.892223
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,3,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:43.126354
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:43.405560
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:43.655361
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:43.913832
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,[All] of the students got [Most] of the answers [Right],True,2026-03-27T01:35:44.212451
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,8,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:44.458392
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,9,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:44.713244
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,10,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:44.953029
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:45.239697
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:45.484010
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,3,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:45.733419
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:45.993112
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:46.248666
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,6,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:46.499321
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,7,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:46.739591
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,8,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:46.983240
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,9,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:47.235957
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,10,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:47.530177
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:47.800070
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:48.052762
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,3,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:48.293986
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:48.540974
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:48.779715
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,6,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:49.023154
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,7,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:49.282627
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,8,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:49.522044
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,9,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:49.778223
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,10,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:50.034286
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:50.313098
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:50.578858
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,3,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:50.855206
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:51.108459
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:51.375807
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,6,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:51.626778
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,7,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:51.876558
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,8,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:52.144273
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,9,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:52.401942
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,10,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:52.687086
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:52.966536
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:53.202456
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,3,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:53.473446
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,4,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:53.714597
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,5,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:53.961189
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:54.192624
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:54.433074
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,8,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:54.671877
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:54.929406
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:55.176690
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,1,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:35:55.477949
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers right,True,2026-03-27T01:35:55.746009
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,3,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:35:56.003237
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:56.252515
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,5,all,most,right,all of the students got most of the answers right,[All] of the students got [Most] of the answers right,True,2026-03-27T01:35:56.524177
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,6,some,most,right,some of the students got most of the answers right,[Some] of the students got [Most] of the answers [Right],True,2026-03-27T01:35:56.813053
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,7,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:35:57.052463
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,8,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:35:57.306083
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,9,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:57.601790
11,"[9, 9, 9, 3, 3]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers right,True,2026-03-27T01:35:57.874116
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,1,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:35:58.137317
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,2,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:35:58.402165
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,3,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:35:58.688574
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:35:58.978020
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,5,some,most,right,some of the students got most of the answers right,[Some] of the students got [Most] of the answers [Right],True,2026-03-27T01:35:59.268488
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers right,True,2026-03-27T01:35:59.548512
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,7,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:35:59.805767
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,8,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers [right],True,2026-03-27T01:36:00.094670
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,9,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:36:00.377380
12,"[9, 9, 9, 0, 0]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers [right],True,2026-03-27T01:36:00.663605
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,1,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:36:00.970293
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,2,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:01.207365
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,3,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:01.470734
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,4,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:01.714853
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,5,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:01.972328
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,6,most,some,right,most of the students got some of the answers right,most of the students got some of the answers right,True,2026-03-27T01:36:02.214908
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,7,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:02.489739
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,8,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:02.750347
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,9,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:02.998407
13,"[9, 9, 3, 3, 3]",5,12,high,full_sentence,10,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:03.241343
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,1,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:03.538826
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,2,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:03.778979
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,3,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:04.018174
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,4,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:04.270334
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,5,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:36:04.541408
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,6,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:36:04.776596
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,7,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:05.034298
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,8,most,some,right,most of the students got some of the answers right,[most] of the students got [some] of the answers right,True,2026-03-27T01:36:05.302257
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,9,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:05.558863
14,"[9, 9, 3, 0, 0]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,[all] of the students got [most] of the answers [right],True,2026-03-27T01:36:05.843890
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,1,some,most,right,some of the students got most of the answers right,[Some] of the students got [Most] of the answers [Right],True,2026-03-27T01:36:06.181325
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,[all] of the students got [some] of the answers [right],True,2026-03-27T01:36:06.473093
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,3,some,most,right,some of the students got most of the answers right,[Some] of the students got [Most] of the answers [Right],True,2026-03-27T01:36:06.763768
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,[all] of the students got [some] of the answers [right],True,2026-03-27T01:36:07.064257
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:36:07.310256
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,6,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:07.597429
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,7,all,some,right,all of the students got some of the answers right,[all] of the students got [some] of the answers right,True,2026-03-27T01:36:07.863463
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,8,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:08.107624
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,9,all,some,right,all of the students got some of the answers right,[all] of the students got [some] of the answers [right],True,2026-03-27T01:36:08.403168
15,"[9, 9, 0, 0, 0]",5,12,high,full_sentence,10,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:36:08.654758
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,1,all,some,wrong,all of the students got some of the answers wrong,All of the students got some of the answers wrong.,True,2026-03-27T01:36:08.928906
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,all of the students got some of the answers right,True,2026-03-27T01:36:09.166683
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,3,all,some,wrong,all of the students got some of the answers wrong,[all] of the students got [some] of the answers [wrong],True,2026-03-27T01:36:09.459698
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,4,all,some,right,all of the students got some of the answers right,all of the students got some of the answers right,True,2026-03-27T01:36:09.705264
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,5,all,some,right,all of the students got some of the answers right,[all] of the students got [some] of the answers right,True,2026-03-27T01:36:09.974806
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,6,all,some,wrong,all of the students got some of the answers wrong,all of the students got some of the answers wrong,True,2026-03-27T01:36:10.211959
16,"[3, 3, 3, 3, 3]",5,12,high,full_sentence,7,all,some,right,all of the students got some of the answers right,all of the students got some of the answers right,True,2026-03-27T01:36:10.443254
